စဉ်,"ကုမ္ပဏီအမည်
",ခွင့်ပြုမိန့်/ အတည်ပြုမိန့်အမှတ်,ရင်းနှီးမြှုပ်နှံမှု ပုံစံ,လုပ်ငန်းအမျိုးအစား, လုပ်ငန်းတည်နေရာ,"ရင်းနှီးမြှုပ်နှံမှု
စုစုပေါင်း ပမာဏ(USD in Million)",ထုတ်ကုန် အမျိုးအစား,ကုန်ကြမ်း အမျိုးအစား,ရင်းနှီးတိုး,ရင်းနှီးလျော့,"YRIC 
အစည်းအဝေး", ဝန်ထမ်း,, ဝန်ထမ်း,,"ရင်းနှီးမြှုပ်နှံမှု
သက်တမ်း",နိုင်ငံ,မှတ်ချက်,ဆက်သွယ်ရမည့်အမည်/ဖုန်းနံပါတ်,"ကုမ္ပဏီမှတ်ပုံတင်
အမှတ်",ရင်းနှီးမြှုပ်နှံမှုကဏ္ဍ,ဘဏ် ငွေစာရင်းအမှတ် နှင့် ဘဏ်အမည်,မြေဧရိယာ ,"မြေဧရိယာ 
တိုး","မြေဧရိယာ 
လျော့ချ"," အတည်ပြုမိန့်
ပြည်လည်
အပ်နှံခြင်း",လတ္တီကျူ/ လောင်ဂျီကျူ,စီးပွားဖြစ်စ,တည်ဆောက်ရေးကာလ,ရင်းနှီးမြှုပ်နှံသူ/ ကမကထအမည်ပြောင်း,"အတည်ပြုမိန့် မူရင်းနှင့်
 ဆုံးဖြတ်ချက်မူရင်း
ပြန်လည်အပ်နှံခြင်း"
၁၀,"Inno Brick  Co.,Ltd
(Korea)
","အတည်ပြုမိန့်
ရကတ- ၀၁၀/၂၀၁၇
(၈-၁၁-၂၀၁၇)",,ကွန်ကရစ်အုတ်များနှင့် ဘလောက် တုံးများထုတ်လုပ် ရောင်းချခြင်း လုပ်ငန်း,​မြေကွက်အမှတ် ၂ နှင့် ၃ မြေတိုင်း ရပ်ကွက် အမှတ် ၁၀၈-B၊ စက်မှုဇုန်၊ ဒဂုန်မြို့သစ် (အရှေ့) မြို့နယ်၊ ရန်ကုန် တိုင်း ဒေသကြီး,အမေရိကန် ဒေါ်လာ ၁.၅၀၀ သန်း,,,,,,၅၀,၂,,,၃၀,Korea,,"Mr.Kim Yong Han
Mento 73 @gmail.com
0943193558",,,,,,,,"16°53'16.5""N 96°14'14.4""E",,,,
၁၁,"Inno Diamond Concrete  Co.,Ltd
(Korea)
100% FIL","အတည်ပြုမိန့်
 ရကတ- ၀၁၁/၂၀၁၇
(၈-၁၁-၂၀၁၇)",,အသင့်ဖော်စပ်ပြီးသော ကွန်ကရစ်များနှင့် အခြား ဆောက်လုပ်ရေး လုပ်ငန်းသုံး ပစ္စည်းများ ရောင်းချ ဝန်ဆောင်မှု ပေးခြင်း လုပ်ငန်း,မြေကွက်အမှတ် ၅ C ၊ မြေတိုင်း ရပ်ကွက် အမှတ် ၁၄၄၊ စက်မှုဇုန်၊ ဒဂုန်မြို့သစ် (တောင်ပိုင်း) မြို့နယ်၊ ရန်ကုန်တိုင်း ဒေသကြီး,အမေရိကန်ဒေါ်လာ ၂.၀၀၀ သန်း,,,,,,၆၄,၅,,,၃၀,Korea,,"Mr.Kim Yong Han
Mento 73 @gmail.com
0943193558",,,,,,,,"16°53'55.2""N 96°14'54.2""E",,,,
၁၂,"Champion Winner Industry  Co.,Ltd
(Myanmar)+China+Taiwan
JV","အတည်ပြုမိန့်
ရကတ- ၀၁၂/၂၀၁၇
(၈-၁၁-၂၀၁၇)",,အဝတ်အထည်၊ ပိတ်စများ ပေါ်တွင် ပန်းရိုက်ခြင်း ဝန်ဆောင်မှုလုပ်ငန်း,မြေကွက်အမှတ်၂၅၅၊မြေတိုင်း ရပ်ကွက် အမှတ် ၄၉၊  ဝါး တစ်ရာစက်မှုဇုန်၊ ရွေပြည် သာမြို့ နယ်၊ ရန်ကုန်တိုင်း ဒေသကြီး,အမေရိကန်ဒေါ်လာ ၀.၆၀၀ သန်း,,,,,,၁၇၅,၁၀,,,၃၀,China,,,,,,,,,,"16°54'16.7""N 96°04'38.3""E",,,,
၁၃,"Tianjin Fashion Origin Co. Ltd 
(China)
","အတည်ပြုမိန့်
ရကတ- ၀၁၃/၂၀၁၇ 
(၂၂-၁၁-၂၀၁၇)",,CMP စနစ်ဖြင့်အဝတ်အထည် အမျိုးမျိုး ချုပ်လုပ်ခြင်း လုပ်ငန်း, ​မြေကွက် အမှတ် ၅၀၉၊ မြေတိုင်း ရပ်ကွက် အမှတ် ၂၅ ၊ ရွှေလင်ပန်း စက်မှုဇုန်၊ လှိုင်သာယာ မြို့နယ်၊ ရန်ကုန်တိုင်း ဒေသကြီး,အမေရိကန်ဒေါ်လာ ၀.၃၀၀ သန်း,,,,,"7/2022
27-7-2022
မြေဧကတိုး",၇၁၃,၃,၅၀၈,,၁၀,China,,"Mr.Lai Caisai
09883252925",,,,"၁.၈၇၂ ဧက 
အနက်မှ 
၁.၁၂၇ ဧက
(၄၆၈၂.၂၁၂)
စတုရန်းမီတာ ","၀.၆၇ ဧက
(၂၇၁၁.၃၉၃)
စတုရန်းမီတာ ",,CMP,"16.913866, 96.056267",,,,
၁၄,"LMH Garment Hangers & Accessories Co.Ltd
(Malaysia)
","အတည်ပြုမိန့်
ရကတ- ၀၁၄/၂၀၁၇
 (၄-၁၂-၂၀၁၇)",,CMP စနစ်ဖြင့် ချိတ်အမျိုးမျိုး နှင့် ဆက်စပ်ပစ္စည်းများ ထုတ်လုပ်ခြင်း လုပ်ငန်း  ,​မြေကွက်အမှတ် ၇၉၊ မြေတိုင်းရပ် ကွက် အမှတ်၂၅၊ ရွှေလင်ပန်း စက်မှု ဇုန်၊ လှိုင်သာယာမြို့နယ်၊ ရန်ကုန် တိုင်း ဒေသကြီး,၁.၆၉,,,,1.187**,"13/2019
13-8-2019",၅၉,၃,,,၂၀,Malaysia,Covid ကြောင့်ခေတ္တရပ်ဆိုင်းထားပါသည်။,ဦးသန်းထွဋ်0943160365,,,,,,,Other,"17.177171197007258, 
95.9852275021464",,,,
၁၅,"Ehwa Metal Co. Ltd -(Korea) 
","အတည်ပြုမိန့်
ရကတ- ၀၁၅/၂၀၁၇  
(၄-၁၂-၂၀၁၇)",,စတီးတံခါး၊ စတီးပြတင်း ပေါက်နှင့် အခြားအသုံး အဆောင်ပစ္စည်းများထုတ်လုပ် ရောင်းချခြင်းလုပ်ငန်း,​မြေကွက်အမှတ် ၄၈၊ မြောင်း တကာ သံမဏိစက်မှု ဇုန်၊မှော်ဘီမြို့နယ်၊ ရန်ကုန် တိုင်း ဒေသကြီး,"အမေရိကန်
ဒေါ်လာ ၁.၉၈၅ သန်း",,,,,,၃၉,၁,,,၃၀,Korea,,၀၉-၄၂၅၉၅၀၆၄၅,,,,,,,,"16°54'18.8""N 96°04'28.2""E",,,,
၁၆,"Kouwa Myanmar Company Limited 
(Japan)
","အတည်ပြုမိန့်
ရကတ- ၀၁၆/၂၀၁၇  
(၄-၁၂-၂၀၁၇)",, CMP စနစ်ဖြင့် အဝတ်အထည် ချုပ်လုပ် ခြင်းလုပ်ငန်း ,မြေကွက်အမှတ် ၄၀၄၊ မြေတိုင်းရပ် ကွက် အမှတ် ၂၅ ၊ ရွှေလင်ပန်း စက်မှုဇုန်၊ လှိုင်သာယာမြို့နယ်၊ ရန်ကုန်တိုင်း ဒေသကြီး,"အမေရိကန်
ဒေါ်လာ ၀.၆၄၀ သန်း",,,,,,,,,,,Japan,,မပွင့်ဖြူအောင် 09250568338,,,,,,,,"16°59'55.7""N 96°03'16.3""E",,,,
၁၇,"Nay Shwe Win Company Limited
 (China)
 
","အတည်ပြုမိန့်
ရကတ- ၀၂၀/၂၀၁၈  
(၃-၁-၂၀၁၈)",,CMP စနစ်ဖြင့် အဝတ်အထည် အမျိုးမျိုး ချုပ်လုပ်ခြင်းလုပ်ငန်း ,မြေကွက်အမှတ် ၇ ၊ မြေတိုင်းရပ်ကွက် အမှတ် ၄၉၊  ဝါးတစ်ရာစက်မှုဇုန်၊ ရွေပြည်သာမြို့နယ်၊ ရန်ကုန်တိုင်း ဒေသကြီး,အမေရိကန် ဒေါ်လာ ၁.၈၅၉ သန်း,,,,,,၁၁၆၁,၁၆,,,၂၀,China,,"ဒေါ်သော်သော်ထွန်း
09-420255388",,,,,,,,"16.909084, 96.052801",,,,
၁၈,"JiangusuSoho (Myanmar) Industry Co.,Ltd.  (China)
","အတည်ပြုမိန့်
ရကတ- ၀၂၁/၂၀၁၈  
(၃-၁-၂၀၁၈)",,CMP စနစ်ဖြင့်် အဝတ်အထည် အမျိုးမျိုး ချုပ်လုပ်ခြင်း လုပ်ငန်း,"
​မြေကွက်အမှတ် ၉၅၊ မြေတိုင်းရပ်ကွက်အမှတ် ၂၅ ၊ ရွှေလင်ပန်း စက်မှုမြို့၊ လှိုင်သာယာမြို့နယ်၊ ရန်ကုန်တိုင်း ဒေသကြီး",အမေရိကန် ဒေါ်လာ    ၁.၁၉၅ သန်း,,,,,,၉၄၅,၃၀,,,၂၀,China,, ,,,,,,,,"16°50'59.3""N 96°04'26.7""E",,,,
၁၉,"Shuangxi (Myanmar) Garment Company Limited (China )
","အတည်ပြုမိန့်
ရကတ- ၀၂၂/၂၀၁၈  
(၃-၁-၂၀၁၈)",,CMP စနစ်ဖြင့်အထည်   ချုပ်လုပ်ခြင်း လုပ်ငန်း ,မြေကွက်အမှတ် ၇၆ နှင့် ၁၀၁၊ မြေတိုင်းရပ်ကွက် အမှတ် ဇုန်(၂) လှိုင်သာယာ မြို့နယ်၊ ရန်ကုန်တိုင်း ဒေသကြီး,"အမေရိကန် 
ဒေါ်လာ  
၀.၈၆၀ သန်း",,,,,,၃၈၀,၂၄,,,၁၀,China,Covid ကြောင့်ခေတ္တရပ်ဆိုင်းထားပါသည်။,မပန်းအိဖြူ092029494,,,,,,,,"16.915803, 96.057231​",,,,
၂၀,"Myanmar Full Win Safety Produces Company Limited 
 (China )
","အတည်ပြုမိန့်
ရကတ- ၀၂၃/၂၀၁၈  (၃.၁.၂၀၁၈)",,CMP စနစ်ဖြင့်အလုပ်ခွင်လုံခြုံ ရေးသုံး အဝတ်အထည် ထုတ်လုပ်ခြင်း လုပ်ငန်း ,​မြေကွက်အမှတ် ၇၆  မြေတိုင်းရပ် ကွက် အမှတ်၂၅၊ ရွှေလင်ပန်းစက်မှု မြို့ လှိုင်သာ ယာမြို့နယ်၊ ရန်ကုန်တိုင်း ဒေသကြီး,၀.၉၀၈,,,,,,၅၀၀,၁၀,,,၂၀,China,,ဒေါ်မိုးမိုးမြင့်သူ 09420016545,,,,,,,,,,,,
၂၁,"Sanhe  Plastic Company Limited (China)
","အတည်ပြုမိန့်
ရကတ- ၀၂၄/၂၀၁၈  (၃.၁.၂၀၁၈)",,ပလပ်စတစ်ထုတ်လုပ်    ရောင်းချခြင်းလုပ်ငန်း,​မြေကွက်အမှတ်၄၉၊ မြေတိုင်းရပ် ကွက် အမှတ်၂၄၊ ငွေပင်လယ်စက်မှု မြို့၊လှိုင်သာ ယာမြို့နယ်၊ ရန်ကုန် တိုင်း ဒေသကြီး,၂.၃၃၄,,,,,,၅၈,၃,,,၃၀,China,, 09-664289931,,,,,,,,"16.885045, 95.999616",,,,
၂၂,"Zong Hong (Myanmar) Garment Company Limited  (China)
","အတည်ပြုမိန့်
ရကတ- ၀၂၅/၂၀၁၈ (၂၄.၁.၂၀၁၈)",,CMP စနစ်ဖြင့် အဝတ်အထည် အမျိုးမျိုး ချုပ်လုပ်ခြင်းလုပ်ငန်း," ​မြေကွက်အမှတ်A3မြေတိုင်း
ရပ်ကွက် အမှတ်၂၁၊ မြစိမ်းရောင်စက်မှုဇုန် လှိုင်သာယာမြို့နယ်၊ ရန်ကုန်တိုင်း ဒေသကြီး",၂.၀၉၁,,,,,,၁၀၁၅,၂၀,,,၃၀,China,,ဒေါ်သီတာစိုး 09423028898,,,,"၃.၂၈၅ ဧက
(၁၃၂၉၃.၉)
စတုရန်းမီတာ+
၁.၄၀၆ဧက 
(၅၆၈၉.၈၈)
စတုရန်းမီတာ",,"၁.၄၀၆ဧက 
(၅၆၈၉.၈၈)
စတုရန်းမီတာ ",,,,,,
၂၃,"Xin Fa (Myanmar) Textile Company Limited  (China)
","အတည်ပြုမိန့်
ရကတ- ၀၂၆/၂၀၁၈  (၂၄.၁.၂၀၁၈) ",,CMP စနစ်ဖြင့် ချည်မျှင် ထုတ်လုပ်ခြင်း လုပ်ငန်း ,​မြေကွက်အမှတ် ၆၀ မြေတိုင်းရပ်ကွက်အမှတ်  သီလဝါစက်မှုဇုန် သန်လျင် ကျောက်တန်း မြို့နယ်၊ ရန်ကုန်တိုင်း ဒေသကြီး,၂.၉၆၅,,,0.428,,"5.2019
19-3-2019",၈၀,၁၀,,၁၅,၃၀,China,,"ဦးစိုးမင်းသန်း
၀၉-၆၈၃၄၄၈၃၃၉",,,,,,,,,,,,
၂၄,"Enviro A one Industrial Company Limited (Singapore)

","အတည်ပြုမိန့်
ရကတ- ၀၂၇/၂၀၁၈
(၂၄.၁.၂၀၁၈)   ",,"Separating, Sorting,Packaging and Export of the Recycle Products (Such as paper)",မြေကွက်အမှတ် ၄  မြေတိုင်းရပ်ကွက် အမှတ် ၁၀၉၊ စက်မှု၊ ဒဂုန်မြို့သစ် (အရှေ့)မြို့နယ်၊ ရန်ကုန်တိုင်း ,၀.၅,,,,,,၂၉,၂,,,၂၀,Singapore,"ပိတ်သိမ်း
(ထွက်ပြေး)",Ms. ELIZA YUKIKO WONG esme69smt@gmail.com ,,,,,,,,,,,,
၂၅,"FE Foods & Beverages Myanmar Company Limited  (Indian)
 ","အတည်ပြုမိန့်
 ရကတ- ၀၂၈/၂၀၁၈
(၁၄.၂.၂၀၁၈) ",,အသင့်စားသောက်ကုန်နှင့် အဖျော် ယမကာများ ထုတ်လုပ်ခြင်း၊ဈေးကွက် မြှင့်တင်ခြင်း နှင့် ဖြန့်ဖြူး ခြင်းလုပ်ငန်း,​မြေကွက်အမှတ် ၁၀၉ ၊ မြေတိုင်း ရပ်ကွက်အမှတ် ၆၅(စက်မှု)၊  စက်မှု ဇုန် အပိုင်း(၄)၊ ရွေပြည်သာ မြို့နယ်၊ ရန်ကုန်တိုင်း ဒေသကြီး,၀.၅,,,,,,၂၁၅,၂,,,၅၀,India,ဖျက်သိမ်းတင်ထား,၀၉-၂၅၃၆၆၂၆၆၈,,,,,,,,,,,,
၂၆,"Meier Global Myanmar Co.,Ltd
(China)
","အတည်ပြုမိန့်
ရကတ- ၀၂၉/၂၀၁၈
(၁၄.၂.၂၀၁၈)   ",,CMP စနစ်ဖြင့်အဝတ်အထည် အမျိုးမျိုးချုပ်လုပ်ခြင်း လုပ်ငန်း ,​မြေကွက်အမှတ် ၁၂၆ ၊ မြေတိုင်းရပ် ကွက်အမှတ် ၆၅(စက်မှု)၊  စက်မှုဇုန် အပိုင်း(၄)၊ရွေပြည်သာမြို့နယ်၊ ရန်ကုန် တိုင်းဒေသကြီး,၁.၃၆,,,,,,၁၄၅၉,၂၃,,,၁၀,China,,"Mr. Win Naing Lone
09-762963577",,,,,,,,"16°50'43.6""N 96°17'56.2""E",,,,
၂၇,"Yamani Far East Company Limited  
(Taiwan)
","အတည်ပြုမိန့် 
 ရကတ- ၀၃၀/၂၀၁၈
 (၁၄.၂.၂၀၁၈)   ",,CMP စနစ်ဖြင့် လက်ကိုင်အိတ်နှင့် ဆက်စပ် အမျိုးမျိူး ထုတ်လုပ်ခြင်း လုပ်ငန်း ,မြေကွက်အမှတ် ၂၁၂ မြေတိုင်းရပ် ကွက် အမှတ်  စက်မှုဇုန်(၁) ဒဂုန် ဆိပ်ကမ်း မြို့နယ်၊ ရန်ကုန်တိုင်း ဒေသကြီး,၅.၉၈၇,,,2.013,,"2/2022
23-2-2022",၁၄၁,၂၀,,,၂၅,Taiwan,,"ဒေါ်စန်းလွင်ကြူ
၀၉-၇၆၃၇၄၅၃၇",,,,,,,,"16°58'45.6""N 96°02'55.3""E",,,,
၂၈,"Myanmar Kai Shing Food Company Limited 
(British Virgin Islands) 
","အတည်ပြုမိန့်
 ရကတ- ၀၃၂/၂၀၁၈
 (၇.၃.၂၀၁၈)",,တိရိစ္ဆာန်အစာအတွက် ပဲပိစပ် နှင့် ဆိုင်သော ထုတ်ကုန်များ ထုတ်လုပ်ခြင်း နှင့် ဖြန့်ဖြူးခြင်းလုပ်ငန်း,​မြေကွက်အမှတ် ၁၁၇ ၊ မြေတိုင်း ရပ်ကွက် အမှတ် ၄၉ ဝါးတစ်ရာ စက်မှုဇုန် ၊ ရွေပြည်သာမြို့နယ်၊ ရန်ကုန်တိုင်း ဒေသကြီး,၂.,,,"1.244 
1.756",0,"YRIC -19/2019
13-11-2019 တွင် 3.244 သန်းသို့ တိုးမြှင့်ပြီး YRIC -12/2022 တွင် 5.000 သန်းသို့ တိုးမြှင့်ထားပြီး",၄၉,၃,,,၅၀,(British Virgin Islands,,"Mr. Teng Hsueh Chi
09-972079068",104834116,စက်မှုကဏ္ဍ,,၄.၂၇၇ ဧက,,,,"16.98576469483738, 96.05859438774694",-,"၆-၃-၂၀၂၁ ရက်နေ့ထိ
 ဒုတိယအကြိမ် တိုးမြှင့်ထားပြီးဖြစ်ပါသည်။၆-၁၁-၂၀၂၂ထိ ကိုဗစ်  အကျုံးဝင် ကာလ အဖြစ်  MIC မှ ခွင့်ပြုထားပါသည်။
",,
၂၉,"Guang Ming Garment (Myanmar) Company Limited  (China)
","အတည်ပြုမိန့်
 ရကတ-  ၀၃၃/၂၀၁၈
 (၇.၃.၂၀၁၈)",,CMP စနစ်ဖြင့်အဝတ်အထည် အမျိုးမျိုးချုပ်လုပ်ခြင်း လုပ်ငန်း ,​မြေကွက်အမှတ် ၁၃၈  မြေတိုင်းရပ်ကွက် အမှတ် ၂၅၊ ရွှေလင်ပန်းစက်မှုမြို့၊ လှိုင် သာယာမြို့နယ်၊ ရန်ကုန် တိုင်း ဒေသကြီး,၀.၅၆,,,,,,၆၅၉,၂၀,,,၂၆,China,,"Mr.Xia,Zongnan    
၀၉-၄၂၁၀၁၆၇၉၈",,,,,,,,"16°57'19.4""N 96°05'02.5""E",,,,
